,Total (age-adjusted),Total (crude),15–24 years,25–44 years,45–64 years,65–74 years,75 years and over
Male,,,,,,,
2006,18.1,17.9,16,22.1,24.6,22.2,36.2
2007,18.5,18.4,15.7,22.9,25.7,22,36.7
2008,19,19,16,22.8,27.4,24.3,35.7
2009,19.2,19.3,16.1,23,27.9,24.3,35.6
2010,19.8,19.9,16.9,23.6,29.2,23.9,36
2011,20,20.2,17.6,24,28.9,24.4,36.4
2012,20.4,20.6,17.4,24.5,29.5,24.1,37.5
2013,20.3,20.6,17.3,24.1,29,26,38.3
2014,20.7,21.1,18.2,24.4,29.7,26.6,38.9
2015,21.1,21.5,19.4,25.2,29.5,26.2,38.7
2016,21.4,21.8,20.5,26.2,29.1,25.9,39.2
Female,,,,,,,
2006,4.5,4.6,3.2,5.9,7.7,4,3.8
2007,4.6,4.8,3.1,6.2,8.1,4.2,3.7
2008,4.8,4.9,3.5,6.3,8.1,4.4,3.8
2009,4.9,5,3.6,6.2,8.5,4.6,3.5
2010,5,5.2,3.9,6.4,8.6,4.8,3.6
2011,5.2,5.4,4,6.8,8.8,5.2,3.7
2012,5.4,5.5,4.5,6.8,9.1,5.2,3.7
2013,5.5,5.7,4.5,6.8,9.4,5.4,3.7
2014,5.8,6,4.6,7.2,9.8,5.9,4
2015,6,6.2,5.3,7.5,10.2,5.7,4.5
2016,6,6.2,5.4,7.6,9.9,6.2,4.2
Male,Standard error,,,,,,
2006,0.11,0.11,0.27,0.23,0.26,0.5,0.73
2007,0.11,0.11,0.27,0.24,0.26,0.49,0.73
2008,0.11,0.11,0.27,0.24,0.27,0.51,0.71
2009,0.11,0.11,0.27,0.24,0.27,0.5,0.7
2010,0.12,0.11,0.28,0.24,0.27,0.49,0.7
2011,0.12,0.11,0.28,0.24,0.27,0.48,0.7
2012,0.12,0.12,0.28,0.24,0.27,0.46,0.7
2013,0.11,0.12,0.28,0.24,0.27,0.47,0.7
2014,0.12,0.12,0.28,0.24,0.27,0.46,0.7
2015,0.12,0.12,0.29,0.24,0.27,0.45,0.69
2016,0.12,0.12,0.3,0.25,0.27,0.44,0.68
Female,,,,,,,
2006,0.05,0.06,0.12,0.12,0.14,0.2,0.19
2007,0.05,0.06,0.12,0.12,0.14,0.2,0.18
2008,0.06,0.06,0.13,0.12,0.14,0.2,0.18
2009,0.06,0.06,0.13,0.12,0.14,0.2,0.18
2010,0.06,0.06,0.14,0.12,0.14,0.2,0.18
2011,0.06,0.06,0.14,0.13,0.14,0.21,0.18
2012,0.06,0.06,0.14,0.13,0.15,0.2,0.18
2013,0.06,0.06,0.15,0.13,0.15,0.2,0.18
2014,0.06,0.06,0.15,0.13,0.15,0.2,0.18
2015,0.06,0.06,0.16,0.13,0.15,0.2,0.19
2016,0.06,0.06,0.16,0.13,0.15,0.2,0.18
https://www.cdc.gov/nchs/fastats/mental-health.htm,,,,,,,